component_name,product_name,resolution_code,status_code,quantity_of_votes,quantity_of_comments,bug_fix_time,severity_code,assignee_name
tptp,product_173,1,6,0,18,1064,4,jptoomey
text,product_69,1,4,0,4,1,2,eclipse
report,product_10,1,6,0,3,1,4,qwang
unknown,product_154,1,6,0,2,44,2,glyn.normington
imp,product_173,1,4,0,5,416,2,rfuhrer
framework,product_52,1,4,0,9,0,2,equinox.framework-inbox
report,product_10,1,4,0,10,2,4,wwang
core,product_other,1,4,0,18,27,2,malaperle
compiler,product_7,1,4,0,7,69,4,jim-aj
website,product_20,1,4,0,6,51,2,webmaster
report,product_10,1,4,0,3,79,2,jouyang
core,product_other,1,4,0,4,2,2,graphiti-inbox
other,product_90,1,6,0,5,7,2,wds057
js tools,product_110,1,4,0,8,12,2,Michael_Rennie
cdt,product_17,1,4,0,3,12,2,john.camelon
hyades,product_173,1,6,0,4,30,2,khalsted
server,product_9,1,4,0,6,1,2,babel.server-inbox
core,product_other,1,4,0,2,0,4,stephaneberle9
web,product_72,1,6,0,12,6,2,nsand.dev
php explorer & projects management,product_116,1,6,0,7,7,6,guy.g
runtime,product_154,1,6,0,3,79,2,glyn.normington
core,product_69,1,4,0,14,33,2,anchakrk
incubator,product_52,1,4,0,5,9,2,tjwatson
rpm,product_78,1,4,0,7,76,2,linux.rpm-inbox
ui,product_117,1,4,0,6,0,2,olivier.prouvost
ui,product_129,1,6,0,4,6,2,shenxue.zhou
releng,product_117,1,4,0,4,106,2,david_williams
core,product_133,1,6,0,4,9,2,laurent.redor
user,product_117,1,4,0,4,3,2,platform-help-inbox
ci,product_20,1,4,0,4,2,2,david_williams
client,product_79,1,6,0,3,13,2,fiedler.mf
ui,product_115,1,4,0,5,3,2,noam.chitayat
forums and newsgroups,product_20,1,4,0,3,2,2,webmaster
